protein_1,protein_2,label
511145.b3312,511145.b3318,1
511145.b1089,511145.b1716,1
511145.b1089,511145.b3294,1
511145.b1807,511145.b3064,1
511145.b4098,511145.b4100,1
511145.b3736,511145.b3738,1
511145.b0721,511145.b0722,1
511145.b1716,511145.b3186,1
511145.b0764,511145.b0765,1
511145.b3186,511145.b3301,1
511145.b0041,511145.b0042,1
511145.b0041,511145.b1698,1
511145.b2276,511145.b2280,1
511145.b2282,511145.b2286,1
511145.b2197,511145.b2199,1
511145.b3308,511145.b4506,1
511145.b1717,511145.b3301,1
511145.b1697,511145.b1698,1
511145.b2423,511145.b2424,1
511145.b0696,511145.b0698,1
511145.b2606,511145.b3065,1
511145.b2017,511145.b4539,1
511145.b0784,511145.b0785,1
511145.b3299,511145.b3703,1
511145.b3299,511145.b3302,1
511145.b0637,511145.b3310,1
511145.b2279,511145.b2280,1
511145.b1089,511145.b3306,1
511145.b3298,511145.b3316,1
511145.b1089,511145.b3315,1
511145.b3985,511145.b3986,1
511145.b3165,511145.b3936,1
511145.b3299,511145.b3637,1
511145.b3703,511145.b4506,1
511145.b3299,511145.b3304,1
511145.b1716,511145.b3231,1
511145.b3310,511145.b3312,1
511145.b3306,511145.b3985,1
511145.b3065,511145.b3299,1
511145.b2606,511145.b3320,1
511145.b3298,511145.b4506,1
511145.b0191,511145.b3065,1
511145.b3318,511145.b4506,1
511145.b2284,511145.b2285,1
511145.b3301,511145.b3306,1
511145.b0722,511145.b0724,1
511145.b3306,511145.b3342,1
511145.b3298,511145.b3310,1
511145.b3299,511145.b3313,1
511145.b2198,511145.b2199,1
511145.b3307,511145.b3314,1
511145.b0023,511145.b3299,1
511145.b3307,511145.b3321,1
511145.b1089,511145.b3342,1
511145.b0860,511145.b0862,1
511145.b1089,511145.b3065,1
511145.b0912,511145.b1712,1
511145.b3231,511145.b4506,1
511145.b3185,511145.b3342,1
511145.b3185,511145.b3636,1
511145.b1073,511145.b1937,1
511145.b0191,511145.b3302,1
511145.b2606,511145.b3310,1
511145.b3185,511145.b3316,1
511145.b0740,511145.b0741,1
511145.b3165,511145.b3299,1
511145.b3307,511145.b3316,1
511145.b3321,511145.b3936,1
511145.b2440,511145.b2441,1
511145.b0296,511145.b3310,1
511145.b1089,511145.b3983,1
511145.b3302,511145.b3636,1
511145.b1260,511145.b1261,1
511145.b2287,511145.b2288,1
511145.b2280,511145.b2282,1
511145.b2751,511145.b2752,1
511145.b3316,511145.b3936,1
511145.b3299,511145.b3316,1
511145.b2128,511145.b2131,1
511145.b1717,511145.b4506,1
511145.b3299,511145.b3649,1
511145.b2200,511145.b2201,1
511145.b0296,511145.b3341,1
511145.b3231,511145.b3320,1
511145.b2609,511145.b3299,1
511145.b3185,511145.b3302,1
511145.b3299,511145.b3936,1
511145.b1089,511145.b3313,1
511145.b3299,511145.b3636,1
511145.b3342,511145.b3986,1
511145.b2197,511145.b2200,1
511145.b3310,511145.b3316,1
511145.b3313,511145.b3936,1
511145.b0185,511145.b2316,1
511145.b3342,511145.b4202,1
511145.b2276,511145.b2277,1
511145.b3302,511145.b3703,1
511145.b0296,511145.b3299,1
511145.b1089,511145.b3703,1
511145.b1717,511145.b3636,1
511145.b1388,511145.b1390,1
511145.b3936,511145.b4506,1
511145.b3836,511145.b3839,1
511145.b0637,511145.b3309,1
511145.b2281,511145.b2282,1
511145.b0637,511145.b3294,1
511145.b3315,511145.b4202,1
511145.b3307,511145.b3341,1
511145.b0191,511145.b3703,1
511145.b3636,511145.b3703,1
511145.b3983,511145.b3985,1
511145.b3065,511145.b3342,1
511145.b3636,511145.b4506,1
511145.b3186,511145.b3637,1
511145.b3185,511145.b3703,1
511145.b3165,511145.b3315,1
511145.b0627,511145.b3839,1
511145.b2609,511145.b3312,1
511145.b3185,511145.b4506,1
511145.b3065,511145.b3313,1
511145.b3230,511145.b3342,1
511145.b0407,511145.b3705,1
511145.b3203,511145.b3298,1
511145.b3165,511145.b3342,1
511145.b3313,511145.b4506,1
511145.b3318,511145.b4202,1
511145.b3300,511145.b3981,1
511145.b1089,511145.b3302,1
511145.b0023,511145.b0953,1
511145.b1089,511145.b3299,1
511145.b3175,511145.b3636,1
511145.b0098,511145.b3175,1
511145.b3065,511145.b3703,1
511145.b0953,511145.b3311,1
511145.b2567,511145.b4506,1
511145.b0169,511145.b3342,1
511145.b3343,511145.b3344,1
511145.b3230,511145.b3318,1
511145.b0763,511145.b0764,1
511145.b4099,511145.b4101,1
511145.b3308,511145.b3936,1
511145.b3175,511145.b3185,1
511145.b3321,511145.b4202,1
511145.b3304,511145.b3636,1
511145.b1264,511145.b3360,1
511145.b3321,511145.b3703,1
511145.b0884,511145.b3297,1
511145.b3341,511145.b4506,1
511145.b2280,511145.b2288,1
511145.b3732,511145.b3734,1
511145.b3065,511145.b3297,1
511145.b1089,511145.b3230,1
511145.b3298,511145.b3703,1
511145.b0296,511145.b3165,1
511145.b3186,511145.b4506,1
511145.b3297,511145.b4202,1
511145.b3165,511145.b3185,1
511145.b3065,511145.b3936,1
511145.b3637,511145.b3649,1
511145.b0296,511145.b4506,1
511145.b3305,511145.b4506,1
511145.b3306,511145.b4506,1
511145.b0172,511145.b3636,1
511145.b0285,511145.b0286,1
511145.b3308,511145.b3703,1
511145.b3185,511145.b3307,1
511145.b0296,511145.b3703,1
511145.b2891,511145.b3342,1
511145.b3305,511145.b3986,1
511145.b3343,511145.b3345,1
511145.b0023,511145.b1717,1
511145.b3185,511145.b3986,1
511145.b3185,511145.b3321,1
511145.b1089,511145.b3320,1
511145.b0172,511145.b3165,1
511145.b1717,511145.b3065,1
511145.b3297,511145.b3299,1
511145.b3065,511145.b4202,1
511145.b0023,511145.b4506,1
511145.b2609,511145.b3310,1
511145.b3301,511145.b3342,1
511145.b0953,511145.b1089,1
511145.b1716,511145.b3175,1
511145.b1717,511145.b3321,1
511145.b0023,511145.b3312,1
511145.b0023,511145.b3185,1
511145.b3299,511145.b3320,1
